,age,workclass,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,wage_class
8830,42,government department,Some-college,10,Alone,Craft-repair,Not-in-family,White-h1,Male,0,0,40,United-States,<=50K
8831,56,Private-h1,Bachelors,13,Alone,Exec-managerial,Not-in-family,White-h1,Female,0,0,45,United-States,>50K
8832,32,Private-h1,Bachelors,13,Alone,Prof-specialty,Own-child,White-h1,Male,0,0,40,United-States,<=50K
8833,24,Private-h1,Bachelors,13,Married-h2,Other-service,Husband,White-h1,Male,0,0,33,United-States,<=50K
8834,26,Private-h1,Some-college,10,Married-h2,Sales,Husband,White-h1,Male,0,0,40,United-States,<=50K
8835,36,Self-employed,Bachelors,13,Alone,Sales,Not-in-family,Non-White,Female,2174,0,50,United-States,<=50K
8836,49,Private-h1,11th,7,Alone,Other-service,Not-in-family,White-h1,Male,0,0,60,United-States,<=50K
8837,65,Private-h1,HS-grad,9,Married-h2,Exec-managerial,Husband,White-h1,Male,0,0,40,United-States,>50K
8838,73,government department,7th-8th,4,Alone,Other-service,Not-in-family,Non-White,Female,0,0,40,United-States,<=50K
8839,34,Private-h1,11th,7,Married-h2,Handlers-cleaners,Husband,White-h1,Male,0,0,40,United-States,<=50K
8840,22,Private-h1,Bachelors,13,Alone,Adm-clerical,Own-child,White-h1,Female,0,0,40,United-States,<=50K
8841,49,government department,Some-college,10,Alone,Other-service,Unmarried,White-h1,Female,0,0,30,United-States,<=50K
8842,25,Private-h1,11th,7,Alone,Other-service,Unmarried,Non-White,Female,0,0,32,United-States,<=50K
8843,39,Private-h1,9th,5,Married-h2,Transport-moving,Husband,White-h1,Male,0,0,25,United-States,<=50K
8844,19,Private-h1,11th,7,Alone,Craft-repair,Not-in-family,White-h1,Male,0,0,56,United-States,<=50K
8845,24,Private-h1,10th,6,Married-h2,Machine-op-inspct,Wife,White-h1,Female,0,0,40,United-States,<=50K
8846,34,Private-h1,HS-grad,9,Alone,Adm-clerical,Unmarried,White-h1,Female,0,0,35,United-States,<=50K
8847,21,Private-h1,HS-grad,9,Alone,Machine-op-inspct,Other-relative,White-h1,Male,0,0,40,United-States,<=50K
8848,43,Private-h1,Masters,14,Alone,Other-service,Unmarried,White-h1,Female,0,0,40,United-States,<=50K
8849,39,Private-h1,Some-college,10,Alone,Adm-clerical,Unmarried,Non-White,Female,0,0,40,United-States,<=50K
8850,33,Self-employed,Assoc-acdm,12,Alone,Other-service,Not-in-family,Non-White,Male,0,0,32,United-States,<=50K
8851,19,Private-h1,Some-college,10,Alone,Other-service,Own-child,White-h1,Female,0,0,26,United-States,<=50K
8852,17,Private-h1,10th,6,Alone,Sales,Unmarried,White-h1,Female,0,0,12,United-States,<=50K
8853,43,Self-employed,Some-college,10,Married-h2,Farming-fishing,Husband,White-h1,Male,0,0,50,United-States,<=50K
8854,62,Private-h1,HS-grad,9,Alone,Adm-clerical,Not-in-family,White-h1,Female,0,0,42,United-States,<=50K
8855,53,government department,Masters,14,Alone,Prof-specialty,Not-in-family,Non-White,Female,0,0,40,United-States,>50K
8856,45,government department,Masters,14,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,60,United-States,>50K
8857,47,Private-h1,HS-grad,9,Alone,Adm-clerical,Not-in-family,Non-White,Female,0,0,40,United-States,<=50K
8858,30,Private-h1,Some-college,10,Alone,Other-service,Own-child,Non-White,Female,0,0,40,United-States,<=50K
8859,53,Private-h1,HS-grad,9,Married-h2,Sales,Not-in-family,White-h1,Female,0,0,33,United-States,<=50K
8860,24,Private-h1,HS-grad,9,Married-h2,Machine-op-inspct,Own-child,Non-White,Female,0,0,40,United-States,<=50K
8861,41,government department,Some-college,10,Married-h2,Handlers-cleaners,Husband,White-h1,Male,0,0,40,United-States,<=50K
8862,58,government department,5th-6th,3,Alone,Other-service,Other-relative,Non-White,Female,0,0,40,Haiti,<=50K
8863,27,government department,HS-grad,9,Alone,Adm-clerical,Not-in-family,White-h1,Male,4865,0,50,United-States,<=50K
8864,63,government department,HS-grad,9,Alone,Adm-clerical,Not-in-family,White-h1,Female,0,0,38,United-States,<=50K
8865,50,Private-h1,Some-college,10,Alone,Other-service,Own-child,White-h1,Male,0,0,28,United-States,<=50K
8866,43,government department,Masters,14,Alone,Tech-support,Not-in-family,Non-White,Female,8614,0,47,United-States,>50K
8867,29,Self-emp-inc,Some-college,10,Alone,Exec-managerial,Not-in-family,White-h1,Male,0,0,60,United-States,<=50K
8868,41,Private-h1,Some-college,10,Married-h2,Sales,Husband,White-h1,Male,3942,0,40,United-States,<=50K
8869,55,Private-h1,HS-grad,9,Married-h2,Other-service,Husband,White-h1,Male,0,0,40,United-States,<=50K
8870,36,Private-h1,HS-grad,9,Alone,Transport-moving,Not-in-family,White-h1,Male,0,0,45,United-States,<=50K
8871,23,government department,HS-grad,9,Alone,Adm-clerical,Own-child,White-h1,Male,0,0,40,United-States,<=50K
8872,22,Private-h1,Bachelors,13,Alone,Craft-repair,Not-in-family,White-h1,Male,13550,0,55,United-States,>50K
8873,58,Self-employed,Some-college,10,Alone,Craft-repair,Not-in-family,White-h1,Male,0,0,45,United-States,<=50K
8874,25,Private-h1,11th,7,Alone,Adm-clerical,Own-child,Non-White,Female,0,0,40,United-States,<=50K
8875,40,Private-h1,HS-grad,9,Married-h2,Sales,Wife,White-h1,Female,0,0,30,United-States,<=50K
8876,38,Private-h1,Assoc-voc,11,Alone,Prof-specialty,Not-in-family,White-h1,Female,0,0,39,United-States,<=50K
8877,37,Private-h1,Bachelors,13,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,40,United-States,>50K
8878,19,Private-h1,Some-college,10,Alone,Other-service,Own-child,White-h1,Female,0,0,35,United-States,<=50K
8879,55,Private-h1,10th,6,Alone,Other-service,Not-in-family,White-h1,Male,0,0,29,United-States,<=50K
8880,55,Private-h1,Bachelors,13,Married-h2,Sales,Husband,White-h1,Male,15024,0,50,United-States,>50K
8881,28,Private-h1,Bachelors,13,Alone,Adm-clerical,Not-in-family,White-h1,Male,0,0,45,United-States,<=50K
8882,53,Private-h1,HS-grad,9,Married-h2,Craft-repair,Husband,White-h1,Male,0,0,40,El-Salvador,<=50K
8883,60,Private-h1,Some-college,10,Alone,Prof-specialty,Unmarried,White-h1,Male,3325,0,42,United-States,<=50K
8884,32,Private-h1,Some-college,10,Alone,Adm-clerical,Unmarried,White-h1,Female,0,0,38,United-States,<=50K
8885,34,Private-h1,HS-grad,9,Married-h2,Sales,Husband,White-h1,Male,0,0,50,United-States,<=50K
8886,49,Private-h1,Some-college,10,Alone,Prof-specialty,Not-in-family,White-h1,Male,0,0,45,United-States,>50K
8887,21,Private-h1,Some-college,10,Alone,Other-service,Other-relative,White-h1,Female,0,0,30,United-States,<=50K
8888,24,government department,Bachelors,13,Alone,Adm-clerical,Not-in-family,Non-White,Female,0,0,20,United-States,<=50K
8889,53,Private-h1,Assoc-voc,11,Alone,Adm-clerical,Not-in-family,Non-White,Female,2202,0,40,United-States,<=50K
8890,34,government department,Bachelors,13,Alone,Prof-specialty,Not-in-family,White-h1,Female,0,0,40,United-States,<=50K
8891,41,Private-h1,5th-6th,3,Married-h2,Farming-fishing,Wife,White-h1,Female,0,0,40,Mexico,<=50K
8892,21,Private-h1,HS-grad,9,Alone,Other-service,Not-in-family,White-h1,Female,0,0,40,United-States,<=50K
8893,43,Private-h1,Masters,14,Married-h2,Exec-managerial,Husband,White-h1,Male,0,0,35,United-States,>50K
8894,31,government department,HS-grad,9,Alone,Protective-serv,Own-child,White-h1,Male,0,0,40,United-States,<=50K
8895,38,Private-h1,HS-grad,9,Married-h2,Handlers-cleaners,Husband,White-h1,Male,0,2042,40,United-States,<=50K
8896,42,Private-h1,Bachelors,13,Married-h2,Exec-managerial,Husband,White-h1,Male,0,2415,60,United-States,>50K
8897,62,Private-h1,Bachelors,13,Alone,Farming-fishing,Not-in-family,White-h1,Male,0,0,30,United-States,<=50K
8898,51,Private-h1,7th-8th,4,Alone,Machine-op-inspct,Not-in-family,Non-White,Female,0,0,40,United-States,<=50K
8899,30,Private-h1,HS-grad,9,Alone,Sales,Unmarried,Non-White,Female,0,0,25,United-States,<=50K
8900,24,Private-h1,Bachelors,13,Married-h2,Machine-op-inspct,Husband,White-h1,Male,0,0,40,United-States,<=50K
8901,36,Private-h1,HS-grad,9,Alone,Craft-repair,Not-in-family,White-h1,Male,0,0,40,United-States,<=50K
8902,57,Private-h1,10th,6,Married-h2,Craft-repair,Husband,White-h1,Male,0,0,40,United-States,<=50K
8903,46,Private-h1,Bachelors,13,Married-h2,Exec-managerial,Husband,White-h1,Male,0,0,55,United-States,>50K
8904,33,Private-h1,Doctorate,16,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,40,United-States,<=50K
8905,42,Private-h1,Some-college,10,Alone,Sales,Not-in-family,White-h1,Male,0,0,45,United-States,<=50K
8906,62,Private-h1,HS-grad,9,Married-h2,Craft-repair,Husband,White-h1,Male,0,0,40,United-States,<=50K
8907,64,Self-employed,Some-college,10,Married-h2,Sales,Husband,White-h1,Male,0,0,20,United-States,<=50K
8908,18,Private-h1,Some-college,10,Alone,Sales,Own-child,White-h1,Female,0,0,25,United-States,<=50K
8909,43,Private-h1,5th-6th,3,Alone,Farming-fishing,Unmarried,White-h1,Male,0,0,35,Mexico,<=50K
8910,62,Self-employed,7th-8th,4,Alone,Other-service,Not-in-family,White-h1,Female,0,0,66,United-States,<=50K
8911,29,Private-h1,Assoc-acdm,12,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,50,United-States,<=50K
8912,43,Private-h1,Bachelors,13,Married-h2,Handlers-cleaners,Husband,Non-White,Male,0,0,40,Haiti,>50K
8913,39,Private-h1,HS-grad,9,Married-h2,Exec-managerial,Husband,White-h1,Male,7298,0,40,United-States,>50K
8914,34,Private-h1,Bachelors,13,Married-h2,Exec-managerial,Wife,White-h1,Female,0,0,40,United-States,<=50K
8915,44,Private-h1,Assoc-acdm,12,Married-h2,Exec-managerial,Husband,White-h1,Male,4386,0,45,United-States,>50K
8916,25,Private-h1,Bachelors,13,Alone,Adm-clerical,Not-in-family,White-h1,Male,0,0,30,United-States,<=50K
8917,47,government department,Some-college,10,Alone,Transport-moving,Unmarried,White-h1,Male,0,0,40,United-States,<=50K
8918,17,Private-h1,10th,6,Alone,Other-service,Own-child,White-h1,Male,0,0,8,United-States,<=50K
8919,41,government department,Bachelors,13,Alone,Prof-specialty,Unmarried,White-h1,Male,0,0,65,United-States,<=50K
8920,19,Private-h1,Some-college,10,Alone,Sales,Own-child,White-h1,Male,0,0,20,United-States,<=50K
8921,57,Private-h1,1st-4th,2,Married-h2,Other-service,Husband,Non-White,Male,0,0,40,Dominican-Republic,<=50K
8922,25,Private-h1,HS-grad,9,Alone,Adm-clerical,Unmarried,Non-White,Male,0,0,35,United-States,<=50K
8923,37,government department,Some-college,10,Married-h2,Adm-clerical,Husband,White-h1,Male,0,0,40,Canada,>50K
8924,29,Private-h1,Assoc-voc,11,Married-h2,Machine-op-inspct,Husband,White-h1,Male,0,0,40,United-States,<=50K
8925,32,Private-h1,Some-college,10,Alone,Sales,Own-child,White-h1,Male,0,0,35,United-States,<=50K
8926,35,Private-h1,Prof-school,15,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,45,United-States,>50K
8927,52,Private-h1,12th,8,Alone,Machine-op-inspct,Not-in-family,White-h1,Male,0,0,40,United-States,<=50K
8928,41,Private-h1,HS-grad,9,Alone,Machine-op-inspct,Own-child,White-h1,Female,1831,0,40,Peru,<=50K
8929,29,Private-h1,HS-grad,9,Alone,Machine-op-inspct,Not-in-family,White-h1,Female,0,0,38,El-Salvador,<=50K
8930,23,Private-h1,Masters,14,Alone,Prof-specialty,Own-child,White-h1,Female,0,0,36,United-States,<=50K
8931,31,Private-h1,11th,7,Married-h2,Craft-repair,Husband,White-h1,Male,0,0,40,United-States,<=50K
8932,40,Private-h1,HS-grad,9,Married-h2,Transport-moving,Husband,White-h1,Male,0,0,50,United-States,<=50K
8933,19,Private-h1,HS-grad,9,Alone,Adm-clerical,Own-child,White-h1,Female,0,0,20,United-States,<=50K
8934,21,Private-h1,Some-college,10,Alone,Transport-moving,Own-child,White-h1,Male,0,0,10,United-States,<=50K
8935,37,government department,Bachelors,13,Alone,Adm-clerical,Not-in-family,White-h1,Female,8614,0,40,United-States,>50K
8936,49,Self-employed,Prof-school,15,Married-h2,Prof-specialty,Husband,White-h1,Male,99999,0,35,United-States,>50K
8937,64,government department,HS-grad,9,Married-h2,Adm-clerical,Wife,White-h1,Female,0,0,35,United-States,<=50K
8938,37,government department,Assoc-voc,11,Alone,Adm-clerical,Not-in-family,White-h1,Female,0,0,43,United-States,<=50K
8939,70,Self-employed,Bachelors,13,Married-h2,Craft-repair,Husband,White-h1,Male,0,2377,12,United-States,>50K
8940,22,Private-h1,10th,6,Alone,Transport-moving,Own-child,Non-White,Male,0,0,30,United-States,<=50K
8941,29,Self-emp-inc,HS-grad,9,Married-h2,Sales,Husband,Non-White,Male,0,0,40,Germany,<=50K
8942,37,Private-h1,HS-grad,9,Married-h2,Craft-repair,Husband,White-h1,Male,0,0,40,United-States,<=50K
8943,29,Private-h1,Bachelors,13,Alone,Tech-support,Not-in-family,White-h1,Male,0,0,40,United-States,<=50K
8944,38,Private-h1,11th,7,Alone,Machine-op-inspct,Not-in-family,White-h1,Male,0,0,65,United-States,<=50K
8945,27,Private-h1,HS-grad,9,Alone,Craft-repair,Not-in-family,White-h1,Male,0,0,50,United-States,<=50K
8946,58,government department,Bachelors,13,Married-h2,Adm-clerical,Husband,White-h1,Male,0,0,35,United-States,>50K
8947,60,government department,Some-college,10,Married-h2,Adm-clerical,Wife,White-h1,Female,0,0,35,United-States,<=50K
8948,20,Private-h1,Some-college,10,Alone,Sales,Not-in-family,White-h1,Male,0,0,25,United-States,<=50K
8949,51,Private-h1,Some-college,10,Married-h2,Sales,Husband,White-h1,Male,0,0,40,United-States,>50K
8950,37,Private-h1,9th,5,Married-h2,Transport-moving,Husband,White-h1,Male,0,0,65,United-States,<=50K
8951,22,government department,12th,8,Alone,Exec-managerial,Not-in-family,White-h1,Male,0,0,50,United-States,>50K
8952,56,Self-employed,10th,6,Married-h2,Transport-moving,Husband,White-h1,Male,0,0,60,United-States,<=50K
8953,26,Private-h1,Bachelors,13,Married-h2,Sales,Wife,White-h1,Female,5178,0,42,United-States,>50K
8954,19,Private-h1,Some-college,10,Married-h2,Sales,Unmarried,White-h1,Female,0,0,25,United-States,<=50K
8955,37,Private-h1,Assoc-voc,11,Married-h2,Prof-specialty,Wife,White-h1,Female,0,0,30,United-States,<=50K
8956,27,Private-h1,Some-college,10,Alone,Tech-support,Not-in-family,White-h1,Female,0,0,40,United-States,<=50K
8957,27,Private-h1,HS-grad,9,Alone,Sales,Own-child,Non-White,Male,0,0,20,United-States,<=50K
8958,52,Self-employed,Some-college,10,Married-h2,Sales,Husband,White-h1,Male,0,0,50,United-States,<=50K
8959,45,Private-h1,HS-grad,9,Married-h2,Machine-op-inspct,Unmarried,Non-White,Female,0,0,40,United-States,<=50K
8960,28,Private-h1,Some-college,10,Alone,Craft-repair,Own-child,Non-White,Male,0,0,40,United-States,<=50K
8961,20,Private-h1,HS-grad,9,Alone,Adm-clerical,Not-in-family,White-h1,Female,0,0,40,United-States,<=50K
8962,28,Private-h1,Masters,14,Alone,Prof-specialty,Not-in-family,White-h1,Female,0,0,50,United-States,<=50K
8963,44,Private-h1,Assoc-voc,11,Married-h2,Handlers-cleaners,Husband,Non-White,Male,0,0,40,United-States,<=50K
8964,30,Private-h1,Bachelors,13,Married-h2,Craft-repair,Husband,White-h1,Male,0,0,40,United-States,<=50K
8965,26,government department,Assoc-acdm,12,Alone,Adm-clerical,Own-child,Non-White,Female,0,0,8,United-States,<=50K
8966,46,Private-h1,HS-grad,9,Alone,Sales,Not-in-family,White-h1,Female,0,0,40,United-States,<=50K
8967,51,Private-h1,Bachelors,13,Married-h2,Craft-repair,Husband,White-h1,Male,0,0,50,United-States,<=50K
8968,25,government department,Bachelors,13,Alone,Prof-specialty,Not-in-family,White-h1,Female,0,0,40,United-States,<=50K
8969,43,government department,HS-grad,9,Married-h2,Other-service,Not-in-family,White-h1,Male,0,0,40,United-States,<=50K
8970,36,Private-h1,HS-grad,9,Alone,Craft-repair,Not-in-family,White-h1,Male,0,0,40,United-States,<=50K
8971,36,Private-h1,Some-college,10,Alone,Exec-managerial,Not-in-family,White-h1,Male,0,0,40,United-States,<=50K
8972,48,Private-h1,Bachelors,13,Alone,Other-service,Unmarried,Non-White,Female,0,0,40,Vietnam,<=50K
8973,24,Private-h1,Bachelors,13,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,44,United-States,>50K
8974,30,Private-h1,HS-grad,9,Alone,Other-service,Unmarried,White-h1,Female,0,0,36,United-States,<=50K
8975,24,Private-h1,Bachelors,13,Married-h2,Exec-managerial,Wife,White-h1,Female,7688,0,45,United-States,>50K
8976,62,Private-h1,Bachelors,13,Married-h2,Machine-op-inspct,Husband,White-h1,Male,0,0,40,United-States,<=50K
8977,41,Self-employed,HS-grad,9,Alone,Transport-moving,Not-in-family,White-h1,Male,0,1590,40,United-States,<=50K
8978,49,Self-employed,Prof-school,15,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,85,United-States,>50K
8979,36,Self-employed,HS-grad,9,Married-h2,Transport-moving,Husband,White-h1,Male,0,0,50,United-States,<=50K
8980,47,government department,Masters,14,Alone,Prof-specialty,Unmarried,White-h1,Female,5455,0,45,United-States,<=50K
8981,49,government department,Masters,14,Alone,Prof-specialty,Not-in-family,White-h1,Female,0,0,40,United-States,<=50K
8982,52,Private-h1,Some-college,10,Alone,Exec-managerial,Not-in-family,White-h1,Male,0,0,40,United-States,<=50K
8983,52,Private-h1,Assoc-acdm,12,Married-h2,Tech-support,Husband,White-h1,Male,0,0,40,United-States,>50K
8984,26,Private-h1,HS-grad,9,Alone,Adm-clerical,Not-in-family,White-h1,Male,0,0,53,United-States,<=50K
8985,51,government department,HS-grad,9,Alone,Transport-moving,Not-in-family,White-h1,Male,0,0,40,United-States,<=50K
8986,18,Private-h1,10th,6,Alone,Other-service,Own-child,White-h1,Male,0,0,20,United-States,<=50K
8987,30,Private-h1,HS-grad,9,Alone,Handlers-cleaners,Other-relative,White-h1,Male,0,0,40,United-States,<=50K
8988,46,Private-h1,HS-grad,9,Alone,Machine-op-inspct,Not-in-family,White-h1,Male,0,0,20,United-States,<=50K
8989,28,Private-h1,HS-grad,9,Alone,Handlers-cleaners,Own-child,Non-White,Female,0,0,40,United-States,<=50K
8990,48,Self-emp-inc,Bachelors,13,Married-h2,Exec-managerial,Husband,White-h1,Male,7298,0,50,United-States,>50K
8991,62,Private-h1,Some-college,10,Married-h2,Adm-clerical,Wife,White-h1,Female,0,0,38,United-States,>50K
8992,49,Private-h1,Bachelors,13,Married-h2,Sales,Husband,White-h1,Male,4064,0,44,United-States,<=50K
8993,69,Private-h1,HS-grad,9,Alone,Adm-clerical,Not-in-family,White-h1,Female,0,0,24,United-States,<=50K
8994,35,Private-h1,Bachelors,13,Alone,Exec-managerial,Not-in-family,White-h1,Male,8614,0,45,United-States,>50K
8995,78,Private-h1,Masters,14,Alone,Craft-repair,Unmarried,Non-White,Male,0,0,40,South,<=50K
8996,61,Private-h1,Some-college,10,Married-h2,Exec-managerial,Husband,White-h1,Male,0,0,45,United-States,>50K
8997,24,Private-h1,Bachelors,13,Alone,Prof-specialty,Not-in-family,White-h1,Female,0,0,40,United-States,<=50K
8998,29,Private-h1,Some-college,10,Alone,Adm-clerical,Own-child,White-h1,Female,0,0,40,United-States,<=50K
8999,17,Private-h1,10th,6,Alone,Farming-fishing,Own-child,White-h1,Male,0,0,40,United-States,<=50K
9000,27,Private-h1,HS-grad,9,Married-h2,Handlers-cleaners,Husband,Non-White,Male,0,0,80,United-States,>50K
9001,64,Private-h1,HS-grad,9,Married-h2,Transport-moving,Husband,White-h1,Male,0,0,40,United-States,<=50K
9002,33,Self-employed,HS-grad,9,Alone,Exec-managerial,Not-in-family,White-h1,Male,0,0,55,France,<=50K
9003,32,Private-h1,12th,8,Married-h2,Craft-repair,Other-relative,White-h1,Male,0,0,40,Mexico,<=50K
9004,19,Private-h1,Some-college,10,Alone,Other-service,Own-child,White-h1,Female,0,0,20,United-States,<=50K
9005,42,government department,11th,7,Married-h2,Farming-fishing,Husband,White-h1,Male,0,0,40,United-States,<=50K
9006,24,Private-h1,Bachelors,13,Alone,Sales,Own-child,White-h1,Female,0,0,15,United-States,<=50K
9007,23,Private-h1,HS-grad,9,Alone,Exec-managerial,Not-in-family,Non-White,Male,0,0,45,United-States,<=50K
9008,51,government department,Prof-school,15,Alone,Prof-specialty,Not-in-family,White-h1,Male,3325,0,40,United-States,<=50K
9009,31,Private-h1,Bachelors,13,Alone,Tech-support,Not-in-family,White-h1,Male,3325,0,60,United-States,<=50K
9010,44,Private-h1,Prof-school,15,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,29,United-States,>50K
9011,38,Private-h1,Masters,14,Alone,Exec-managerial,Not-in-family,White-h1,Female,10520,0,50,United-States,>50K
9012,44,government department,Assoc-acdm,12,Alone,Protective-serv,Not-in-family,White-h1,Female,0,0,56,United-States,>50K
9013,44,Self-employed,5th-6th,3,Married-h2,Farming-fishing,Husband,White-h1,Male,0,0,40,Mexico,<=50K
9014,38,Private-h1,HS-grad,9,Married-h2,Craft-repair,Husband,White-h1,Male,0,0,44,United-States,<=50K
9015,36,Private-h1,9th,5,Alone,Adm-clerical,Unmarried,White-h1,Female,0,0,40,United-States,<=50K
9016,29,Private-h1,1st-4th,2,Alone,Other-service,Not-in-family,White-h1,Male,0,0,20,El-Salvador,<=50K
9017,46,Private-h1,Assoc-acdm,12,Alone,Sales,Not-in-family,White-h1,Female,0,0,25,Germany,<=50K
9018,47,Private-h1,HS-grad,9,Married-h2,Adm-clerical,Husband,White-h1,Male,0,0,40,United-States,<=50K
9019,30,Private-h1,HS-grad,9,Married-h2,Transport-moving,Husband,White-h1,Male,99999,0,40,United-States,>50K
9020,37,government department,HS-grad,9,Married-h2,Protective-serv,Husband,White-h1,Male,7688,0,35,United-States,>50K
9021,27,Private-h1,Bachelors,13,Alone,Exec-managerial,Not-in-family,White-h1,Male,0,0,45,United-States,<=50K
9022,43,Private-h1,HS-grad,9,Alone,Machine-op-inspct,Unmarried,White-h1,Female,0,0,50,United-States,<=50K
9023,44,Self-employed,Prof-school,15,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,40,United-States,>50K
9024,31,Private-h1,Some-college,10,Alone,Exec-managerial,Unmarried,White-h1,Male,0,0,60,United-States,<=50K
9025,34,Private-h1,Bachelors,13,Married-h2,Exec-managerial,Husband,White-h1,Male,0,1977,45,United-States,>50K
9026,39,Private-h1,Bachelors,13,Alone,Sales,Own-child,White-h1,Male,0,1092,40,Germany,<=50K
9027,36,Private-h1,Some-college,10,Alone,Craft-repair,Unmarried,White-h1,Female,0,0,40,United-States,<=50K
9028,57,Private-h1,Bachelors,13,Married-h2,Prof-specialty,Husband,White-h1,Male,3103,0,40,United-States,>50K
9029,78,Private-h1,7th-8th,4,Alone,Machine-op-inspct,Not-in-family,White-h1,Female,0,0,35,Dominican-Republic,<=50K
9030,24,Private-h1,Some-college,10,Married-h2,Craft-repair,Husband,White-h1,Male,0,0,40,United-States,<=50K
9031,39,Private-h1,Some-college,10,Alone,Adm-clerical,Not-in-family,White-h1,Female,0,0,40,United-States,<=50K
9032,21,Private-h1,Assoc-acdm,12,Alone,Sales,Own-child,White-h1,Male,0,0,40,United-States,<=50K
9033,34,Private-h1,HS-grad,9,Married-h2,Adm-clerical,Not-in-family,White-h1,Male,0,0,40,United-States,>50K
9034,22,Private-h1,Some-college,10,Alone,Sales,Unmarried,White-h1,Female,0,0,32,United-States,<=50K
9035,36,Private-h1,Some-college,10,Alone,Adm-clerical,Unmarried,White-h1,Female,0,0,40,United-States,<=50K
9036,61,Private-h1,Some-college,10,Married-h2,Sales,Husband,White-h1,Male,0,0,40,United-States,>50K
9037,42,Private-h1,Some-college,10,Married-h2,Other-service,Unmarried,Non-White,Female,0,0,21,Haiti,<=50K
9038,49,government department,Assoc-voc,11,Married-h2,Craft-repair,Husband,Non-White,Male,0,0,40,United-States,>50K
9039,58,Private-h1,Assoc-voc,11,Married-h2,Craft-repair,Husband,White-h1,Male,0,0,40,United-States,<=50K
9040,37,government department,Some-college,10,Married-h2,Protective-serv,Husband,White-h1,Male,0,0,60,United-States,<=50K
9041,39,Private-h1,HS-grad,9,Alone,Tech-support,Not-in-family,White-h1,Male,4650,0,44,United-States,<=50K
9042,25,Private-h1,Some-college,10,Married-h2,Adm-clerical,Other-relative,Non-White,Female,0,0,40,Jamaica,<=50K
9043,30,Private-h1,Bachelors,13,Married-h2,Adm-clerical,Husband,White-h1,Male,0,0,40,United-States,<=50K
9044,36,Self-employed,HS-grad,9,Married-h2,Craft-repair,Husband,White-h1,Male,2885,0,40,United-States,<=50K
9045,23,Private-h1,HS-grad,9,Alone,Craft-repair,Not-in-family,White-h1,Male,0,0,65,United-States,<=50K
9046,51,Private-h1,Some-college,10,Married-h2,Adm-clerical,Wife,Non-White,Female,0,0,35,Jamaica,<=50K
9047,55,Private-h1,HS-grad,9,Married-h2,Transport-moving,Husband,White-h1,Male,0,0,60,United-States,<=50K
9048,35,Private-h1,Bachelors,13,Alone,Sales,Not-in-family,White-h1,Male,0,0,50,United-States,<=50K
9049,45,government department,Masters,14,Married-h2,Adm-clerical,Husband,White-h1,Male,0,0,40,India,<=50K
9050,36,Private-h1,Bachelors,13,Married-h2,Prof-specialty,Husband,White-h1,Male,0,0,48,United-States,>50K
9051,32,government department,HS-grad,9,Married-h2,Craft-repair,Husband,White-h1,Male,0,0,40,United-States,<=50K
9052,39,Private-h1,HS-grad,9,Married-h2,Exec-managerial,Husband,White-h1,Male,0,0,55,United-States,<=50K
9053,47,Self-emp-inc,Some-college,10,Married-h2,Craft-repair,Husband,White-h1,Male,0,0,40,United-States,<=50K
9054,49,Private-h1,Some-college,10,Married-h2,Exec-managerial,Husband,White-h1,Male,0,0,45,United-States,>50K
9055,44,Private-h1,Some-college,10,Married-h2,Machine-op-inspct,Not-in-family,Non-White,Male,0,0,40,United-States,<=50K
9056,36,Private-h1,Some-college,10,Married-h2,Exec-managerial,Husband,White-h1,Male,0,0,50,United-States,>50K
9057,40,Private-h1,Some-college,10,Alone,Craft-repair,Unmarried,Non-White,Female,0,0,30,United-States,<=50K
9058,17,Private-h1,10th,6,Alone,Other-service,Own-child,White-h1,Female,0,0,6,United-States,<=50K
9059,18,Private-h1,HS-grad,9,Alone,Sales,Own-child,White-h1,Female,0,0,38,United-States,<=50K
9060,30,Self-emp-inc,Some-college,10,Married-h2,Exec-managerial,Wife,White-h1,Female,0,0,25,United-States,<=50K
9061,66,Private-h1,HS-grad,9,Alone,Priv-house-serv,Not-in-family,White-h1,Female,0,0,50,England,<=50K
9062,59,Private-h1,Bachelors,13,Alone,Craft-repair,Not-in-family,White-h1,Male,0,0,50,United-States,<=50K
9063,30,government department,HS-grad,9,Married-h2,Adm-clerical,Husband,Non-White,Male,0,0,40,United-States,<=50K
9064,50,Private-h1,HS-grad,9,Married-h2,Farming-fishing,Husband,White-h1,Male,0,0,50,United-States,<=50K
9065,24,Private-h1,HS-grad,9,Alone,Other-service,Own-child,White-h1,Female,0,0,25,United-States,<=50K
9066,28,Private-h1,Prof-school,15,Married-h2,Prof-specialty,Husband,Non-White,Male,0,0,99,Philippines,<=50K
9067,44,government department,Masters,14,Married-h2,Prof-specialty,Wife,White-h1,Female,0,0,40,United-States,>50K
